row_id,year,month,mdate,sensor_id,sensor_name,pedestrain_counts,rank
0,2009,August,1,4,Town Hall (West),37099,1.0
1,2009,August,1,2,Bourke Street Mall (South),29815,2.0
2,2009,August,1,3,Melbourne Central,29304,3.0
3,2009,August,1,5,Princes Bridge,23994,4.0
4,2009,August,1,1,Bourke Street Mall (North),19738,5.0
5,2009,August,1,6,Flinders Street Station Underpass,18370,6.0
6,2009,August,1,15,State Library,16370,7.0
7,2009,August,1,16,Australia on Collins,14321,8.0
8,2009,August,1,14,Sandridge Bridge,7135,9.0
9,2009,August,1,12,New Quay,5537,10.0
10,2009,August,2,4,Town Hall (West),29464,1.0
11,2009,August,2,3,Melbourne Central,23167,2.0
12,2009,August,2,2,Bourke Street Mall (South),22753,3.0
13,2009,August,2,5,Princes Bridge,21474,4.0
14,2009,August,2,6,Flinders Street Station Underpass,15569,5.0
15,2009,August,2,1,Bourke Street Mall (North),14749,6.0
16,2009,August,2,15,State Library,13399,7.0
17,2009,August,2,16,Australia on Collins,10405,8.0
18,2009,August,2,12,New Quay,7637,9.0
19,2009,August,2,11,Waterfront City,6816,10.0
20,2009,August,3,4,Town Hall (West),33686,1.0
21,2009,August,3,3,Melbourne Central,26709,2.0
22,2009,August,3,2,Bourke Street Mall (South),26701,3.0
23,2009,August,3,6,Flinders Street Station Underpass,26458,4.0
24,2009,August,3,13,Flagstaff Station,25444,5.0
25,2009,August,3,5,Princes Bridge,21357,6.0
26,2009,August,3,15,State Library,18921,7.0
27,2009,August,3,1,Bourke Street Mall (North),17476,8.0
28,2009,August,3,16,Australia on Collins,16781,9.0
29,2009,August,3,17,Collins Place (South),13481,10.0
30,2009,August,4,4,Town Hall (West),32096,1.0
31,2009,August,4,13,Flagstaff Station,26907,2.0
32,2009,August,4,2,Bourke Street Mall (South),25375,3.0
33,2009,August,4,6,Flinders Street Station Underpass,25074,4.0
34,2009,August,4,3,Melbourne Central,24969,5.0
35,2009,August,4,5,Princes Bridge,19552,6.0
36,2009,August,4,15,State Library,18012,7.0
37,2009,August,4,16,Australia on Collins,16829,8.0
38,2009,August,4,1,Bourke Street Mall (North),16496,9.0
39,2009,August,4,17,Collins Place (South),13379,10.0
40,2009,August,5,4,Town Hall (West),34725,1.0
41,2009,August,5,2,Bourke Street Mall (South),28196,2.0
42,2009,August,5,3,Melbourne Central,27960,3.0
43,2009,August,5,6,Flinders Street Station Underpass,27281,4.0
44,2009,August,5,13,Flagstaff Station,25461,5.0
45,2009,August,5,5,Princes Bridge,23982,6.0
46,2009,August,5,15,State Library,19593,7.0
47,2009,August,5,16,Australia on Collins,18150,8.0
48,2009,August,5,1,Bourke Street Mall (North),18108,9.0
