row_id,year,month,sensor_id,sensor_name,pedestrain_counts,rank
0,2009,August,4,Town Hall (West),1050461,1.0
1,2009,August,2,Bourke Street Mall (South),847853,2.0
2,2009,August,3,Melbourne Central,827432,3.0
3,2009,August,6,Flinders Street Station Underpass,721539,4.0
4,2009,August,5,Princes Bridge,700272,5.0
5,2009,August,1,Bourke Street Mall (North),560625,6.0
6,2009,August,13,Flagstaff Station,540355,7.0
7,2009,August,15,State Library,539908,8.0
8,2009,August,16,Australia on Collins,489810,9.0
9,2009,August,17,Collins Place (South),326793,10.0
10,2009,December,4,Town Hall (West),1198678,1.0
11,2009,December,2,Bourke Street Mall (South),1022298,2.0
12,2009,December,1,Bourke Street Mall (North),841261,3.0
13,2009,December,3,Melbourne Central,795765,4.0
14,2009,December,6,Flinders Street Station Underpass,777770,5.0
15,2009,December,5,Princes Bridge,705360,6.0
16,2009,December,16,Australia on Collins,551491,7.0
17,2009,December,13,Flagstaff Station,470939,8.0
18,2009,December,15,State Library,459247,9.0
19,2009,December,17,Collins Place (South),316187,10.0
20,2009,July,4,Town Hall (West),1110075,1.0
21,2009,July,2,Bourke Street Mall (South),877690,2.0
22,2009,July,3,Melbourne Central,826210,3.0
23,2009,July,6,Flinders Street Station Underpass,757096,4.0
24,2009,July,5,Princes Bridge,743246,5.0
25,2009,July,1,Bourke Street Mall (North),610587,6.0
26,2009,July,13,Flagstaff Station,562069,7.0
27,2009,July,16,Australia on Collins,530208,8.0
28,2009,July,15,State Library,525256,9.0
29,2009,July,17,Collins Place (South),346578,10.0
30,2009,June,4,Town Hall (West),1009857,1.0
31,2009,June,1,Bourke Street Mall (North),801945,2.0
32,2009,June,3,Melbourne Central,740878,3.0
33,2009,June,6,Flinders Street Station Underpass,674285,4.0
34,2009,June,5,Princes Bridge,635352,5.0
35,2009,June,2,Bourke Street Mall (South),593036,6.0
36,2009,June,13,Flagstaff Station,527632,7.0
37,2009,June,16,Australia on Collins,484893,8.0
38,2009,June,15,State Library,466171,9.0
39,2009,June,17,Collins Place (South),327694,10.0
40,2009,May,4,Town Hall (West),1095125,1.0
41,2009,May,1,Bourke Street Mall (North),842470,2.0
42,2009,May,6,Flinders Street Station Underpass,729966,3.0
43,2009,May,5,Princes Bridge,711896,4.0
44,2009,May,2,Bourke Street Mall (South),628472,5.0
45,2009,May,15,State Library,570028,6.0
46,2009,May,13,Flagstaff Station,538822,7.0
47,2009,May,16,Australia on Collins,521101,8.0
48,2009,May,3,Melbourne Central,347366,9.0
49,2009,May,17,Collins Place (South),337352,10.0
50,2009,November,4,Town Hall (West),1075112,1.0
51,2009,November,2,Bourke Street Mall (South),819881,2.0
52,2009,November,3,Melbourne Central,793497,3.0
53,2009,November,6,Flinders Street Station Underpass,731875,4.0
54,2009,November,1,Bourke Street Mall (North),706073,5.0
55,2009,November,5,Princes Bridge,700342,6.0
56,2009,November,13,Flagstaff Station,503682,7.0
57,2009,November,16,Australia on Collins,497652,8.0
58,2009,November,15,State Library,481941,9.0
59,2009,November,17,Collins Place (South),326776,10.0
60,2009,October,4,Town Hall (West),1058684,1.0
61,2009,October,2,Bourke Street Mall (South),866911,2.0
62,2009,October,6,Flinders Street Station Underpass,748989,3.0
63,2009,October,5,Princes Bridge,725048,4.0
64,2009,October,3,Melbourne Central,724329,5.0
65,2009,October,1,Bourke Street Mall (North),568757,6.0
66,2009,October,15,State Library,560199,7.0
67,2009,October,13,Flagstaff Station,551139,8.0
68,2009,October,16,Australia on Collins,511023,9.0
69,2009,October,17,Collins Place (South),349472,10.0
70,2009,September,4,Town Hall (West),1017890,1.0
71,2009,September,2,Bourke Street Mall (South),836776,2.0
72,2009,September,3,Melbourne Central,780036,3.0
73,2009,September,6,Flinders Street Station Underpass,700836,4.0
74,2009,September,5,Princes Bridge,699272,5.0
75,2009,September,13,Flagstaff Station,545023,6.0
76,2009,September,1,Bourke Street Mall (North),532613,7.0
77,2009,September,15,State Library,518451,8.0
78,2009,September,16,Australia on Collins,481442,9.0
79,2009,September,17,Collins Place (South),334670,10.0
80,2010,April,4,Town Hall (West),1111326,1.0
81,2010,April,3,Melbourne Central,837419,2.0
82,2010,April,2,Bourke Street Mall (South),779147,3.0
83,2010,April,5,Princes Bridge,743949,4.0
84,2010,April,6,Flinders Street Station Underpass,709573,5.0
85,2010,April,1,Bourke Street Mall (North),584322,6.0
86,2010,April,15,State Library,545050,7.0
87,2010,April,16,Australia on Collins,513211,8.0
88,2010,April,13,Flagstaff Station,487441,9.0
89,2010,April,17,Collins Place (South),319625,10.0
90,2010,August,4,Town Hall (West),1036046,1.0
91,2010,August,3,Melbourne Central,781308,2.0
92,2010,August,2,Bourke Street Mall (South),750070,3.0
93,2010,August,6,Flinders Street Station Underpass,723723,4.0
94,2010,August,5,Princes Bridge,630601,5.0
95,2010,August,1,Bourke Street Mall (North),610958,6.0
96,2010,August,13,Flagstaff Station,556535,7.0
97,2010,August,15,State Library,510291,8.0
98,2010,August,16,Australia on Collins,506910,9.0
99,2010,August,17,Collins Place (South),339983,10.0
100,2010,December,4,Town Hall (West),1232520,1.0
